hectáreas,id,nombre,parroquia,barrio,calle,numero,lat,lon,codigo_postal,telefono,web
9,722,Parque Forestal Beade,BEADE,PENA,CMÑO CAMPANEIRO,0,42.17831,-8.68961,36313
2,723,Parque Forestal San Andrés de Comesaña,COMESAÑA,PEDRA BRANCA,CMÑO OUTEIRO (COMESAÑA),0,42.19124,-8.75422,36213
5,724,Parque Forestal Zamáns,ZAMANS,MARCOSENDE,CTRA ZAMANS,0,42.15353,-8.68095,36310
1,725,Parque Forestal Bandeira-Cabral,CABRAL,CARBALLAL,RUA CARBALLAL (CABRAL),0,42.23933,-8.63752,36318
2,726,Parque Forestal Saiáns,SAIANS,TOMADA,CMÑO PINAL (SAIANS),0,42.16831,-8.79238,36392
4,727,Parque Forestal Teis-A Madroa,TEIS,MOUTA,CTRA MADROA (TEIS),0,42.25070,-8.67512,36216
18,728,Parque Forestal Vixiador-Candeán,CANDEAN,DEVESA,CMÑO DEVESA (CANDEAN),0,42.24999,-8.66780,36317
3,729,Parque Forestal San Miguel de Oia,OIA,ESTEA,CTRA CAMPOSANCOS,0,42.17556,-8.79458,36390
10,748,Parque Forestal de Bembrive,BEMBRIVE,XESTOSO,CTRA REBULLON,0,42.20410,-8.66640,36313
4,749,Parque Forestal Valadares Alba-Cepudo,VALADARES,BARROCAS,CTRA FREIXO (VALADARES),0,42.16769,-8.73384,36315
11,750,Parque Forestal Valadares - Monte dos Pozos,VALADARES,GARRIDA,CTRA MONTE ALBA,0,42.18211,-8.73837,36315
2,721,Parque Forestal Coruxo,CORUXO,CARRASQUEIRA,SBIDA MONTE CARRASQUEIRA-CORUXO,0,42.20094,-8.77625,36331
